alpha,year,long_count,short_count,pnl,sharpe,fitness,returns,draw_down,turn_over,margin
sales / debt_st,2012-2017,428.0,1266.0,2.74M,0.9,1.06,5.56%,5.19%,4.05%,27.23bpm
debt_st / sales,2012,753.0,1606.0,-760K,-1.26,-1.75,-9.48%,6.56%,4.86%,-38.76bpm
debt_st / sales,2013,736.0,1596.0,-1.67M,-1.71,-2.75,-16.74%,10.97%,6.48%,-51.25bpm
debt_st / sales,2014,708.0,1604.0,-560K,-0.73,-0.86,-5.60%,5.89%,4.11%,-27.06bpm
debt_st / sales,2015,711.0,1574.0,-1.08M,-1.42,-1.95,-10.77%,5.47%,5.69%,-37.54bpm
debt_st / sales,2016,727.0,1575.0,2.01M,1.49,2.92,20.06%,2.73%,5.22%,76.20bpm
debt_st / sales,2017,700.0,1585.0,-1.28M,-3.95,-28.38,-104.38%,8.93%,2.02%,-1023.29bpm
debt_st / sales,2012-2017,725.0,1590.0,-3.35M,-0.65,-0.75,-6.80%,23.78%,5.21%,-25.91bpm
sales_growth / debt_st,2012,793.0,895.0,-1.18M,-1.22,-1.44,-14.73%,6.67%,10.43%,-28.01bpm
sales_growth / debt_st,2013,811.0,868.0,2.18M,1.17,2.0,21.79%,5.21%,7.50%,57.64bpm
sales_growth / debt_st,2014,711.0,947.0,-689K,-0.49,-0.43,-6.89%,9.52%,8.59%,-15.92bpm
sales_growth / debt_st,2015,803.0,859.0,-893K,-0.66,-0.66,-8.93%,5.64%,9.04%,-19.61bpm
sales_growth / debt_st,2016,784.0,929.0,890K,0.54,0.54,8.90%,5.28%,8.65%,20.42bpm
sales_growth / debt_st,2017,745.0,942.0,1.06M,4.45,18.89,86.34%,1.14%,4.80%,357.12bpm
sales_growth / debt_st,2012-2017,779.0,901.0,1.37M,0.18,0.1,2.78%,14.49%,8.68%,6.35bpm
debt_st / sales_growth,2012,1089.0,1232.0,-102K,-0.17,-0.06,-1.27%,3.79%,11.14%,-2.27bpm
debt_st / sales_growth,2013,1045.0,1239.0,-491K,-0.39,-0.26,-4.91%,9.07%,10.87%,-8.96bpm
debt_st / sales_growth,2014,987.0,1278.0,-145K,-0.15,-0.06,-1.45%,4.43%,10.64%,-2.70bpm
debt_st / sales_growth,2015,1104.0,1141.0,-626K,-0.95,-0.73,-6.26%,4.35%,10.61%,-11.71bpm
debt_st / sales_growth,2016,1100.0,1164.0,-104K,-0.1,-0.03,-1.04%,7.69%,12.03%,-1.72bpm
debt_st / sales_growth,2017,1128.0,1099.0,-292K,-5.08,-8.68,-23.71%,1.16%,8.13%,-57.88bpm
debt_st / sales_growth,2012-2017,1066.0,1207.0,-1.76M,-0.37,-0.21,-3.57%,15.76%,10.98%,-6.45bpm
sales_ps / debt_st,2012,414.0,1287.0,1.81M,2.72,5.47,22.61%,1.81%,5.60%,80.12bpm
sales_ps / debt_st,2013,409.0,1292.0,606K,1.13,1.52,6.06%,1.88%,3.35%,35.92bpm
sales_ps / debt_st,2014,413.0,1262.0,573K,0.78,0.95,5.73%,1.87%,3.86%,29.45bpm
sales_ps / debt_st,2015,417.0,1263.0,-870K,-1.24,-1.92,-8.70%,5.35%,3.65%,-47.26bpm
sales_ps / debt_st,2016,425.0,1298.0,773K,0.79,1.18,7.73%,4.20%,3.47%,44.14bpm
sales_ps / debt_st,2017,420.0,1276.0,-93.7K,-1.22,-2.85,-7.62%,0.98%,1.39%,-108.72bpm
sales_ps / debt_st,2012-2017,416.0,1280.0,2.80M,0.74,0.9,5.69%,7.80%,3.86%,29.25bpm
debt_st / sales_ps,2012,614.0,1745.0,-56.1K,-0.07,-0.03,-0.70%,5.65%,3.49%,-3.98bpm
debt_st / sales_ps,2013,611.0,1721.0,-944K,-0.72,-1.12,-9.44%,10.89%,3.93%,-47.65bpm
debt_st / sales_ps,2014,599.0,1714.0,-868K,-0.97,-1.64,-8.68%,5.59%,3.05%,-56.44bpm
debt_st / sales_ps,2015,591.0,1696.0,743K,0.84,1.32,7.43%,2.08%,3.03%,48.73bpm
debt_st / sales_ps,2016,605.0,1697.0,104K,0.08,0.05,1.04%,5.91%,3.35%,6.13bpm
debt_st / sales_ps,2017,582.0,1703.0,-318K,-2.21,-8.29,-25.86%,2.35%,1.84%,-279.02bpm
debt_st / sales_ps,2012-2017,603.0,1713.0,-1.34M,-0.25,-0.22,-2.72%,15.86%,3.33%,-16.22bpm
SGA_expense / debt_st,2012,364.0,1020.0,799K,1.39,1.87,9.96%,2.44%,5.50%,35.97bpm
SGA_expense / debt_st,2013,355.0,1038.0,1.48M,1.86,3.53,14.76%,3.13%,4.10%,71.49bpm
SGA_expense / debt_st,2014,355.0,1016.0,612K,0.98,1.22,6.12%,2.37%,3.95%,30.72bpm
SGA_expense / debt_st,2015,369.0,995.0,-929K,-1.42,-2.15,-9.29%,6.25%,4.02%,-45.85bpm
SGA_expense / debt_st,2016,378.0,1058.0,327K,0.42,0.38,3.27%,2.90%,4.13%,15.70bpm
SGA_expense / debt_st,2017,380.0,1050.0,-266K,-1.95,-5.85,-21.66%,2.77%,2.42%,-177.82bpm
SGA_expense / debt_st,2012-2017,365.0,1026.0,2.02M,0.56,0.55,4.10%,7.51%,4.24%,19.15bpm
debt_st / SGA_expense,2012,606.0,1356.0,-718K,-1.42,-1.86,-8.96%,4.99%,5.20%,-34.18bpm
debt_st / SGA_expense,2013,616.0,1337.0,36.0K,0.05,0.02,0.36%,3.88%,4.54%,1.57bpm
debt_st / SGA_expense,2014,588.0,1340.0,-695K,-0.86,-1.18,-6.95%,4.89%,3.65%,-37.77bpm
debt_st / SGA_expense,2015,594.0,1297.0,-179K,-0.27,-0.17,-1.79%,3.23%,4.61%,-7.71bpm
debt_st / SGA_expense,2016,614.0,1319.0,-176K,-0.16,-0.09,-1.76%,4.83%,5.43%,-6.42bpm
debt_st / SGA_expense,2017,607.0,1324.0,-103K,-2.25,-3.77,-8.41%,1.12%,3.00%,-55.63bpm
debt_st / SGA_expense,2012-2017,603.0,1328.0,-1.84M,-0.47,-0.42,-3.73%,9.59%,4.62%,-16.00bpm
working_capital / debt_st,2012,385.0,1034.0,801K,1.47,1.97,9.99%,2.38%,5.56%,35.66bpm
working_capital / debt_st,2013,392.0,1034.0,1.45M,2.08,3.91,14.46%,1.35%,4.09%,70.13bpm
working_capital / debt_st,2014,389.0,1021.0,-166K,-0.18,-0.11,-1.66%,5.70%,4.26%,-7.71bpm
working_capital / debt_st,2015,399.0,996.0,-1.23M,-1.75,-2.83,-12.28%,8.08%,4.69%,-51.97bpm
working_capital / debt_st,2016,398.0,1007.0,181K,0.22,0.15,1.81%,3.24%,3.92%,9.15bpm
working_capital / debt_st,2017,391.0,1021.0,-167K,-1.78,-4.11,-13.57%,1.52%,2.55%,-105.47bpm
working_capital / debt_st,2012-2017,393.0,1018.0,868K,0.23,0.15,1.76%,12.30%,4.41%,7.92bpm
debt_st / working_capital,2012,834.0,1184.0,-446K,-0.84,-0.8,-5.57%,5.07%,6.13%,-18.02bpm
debt_st / working_capital,2013,829.0,1167.0,-903K,-0.83,-1.05,-9.03%,11.50%,5.64%,-31.74bpm
debt_st / working_capital,2014,849.0,1151.0,-974K,-0.81,-1.11,-9.74%,7.99%,5.19%,-37.23bpm
debt_st / working_capital,2015,831.0,1135.0,394K,0.47,0.38,3.94%,2.72%,6.05%,12.91bpm
debt_st / working_capital,2016,829.0,1109.0,1.14M,0.83,1.22,11.42%,5.85%,5.32%,42.59bpm
debt_st / working_capital,2017,708.0,1236.0,14.1K,0.27,0.16,1.15%,0.82%,3.27%,6.98bpm
debt_st / working_capital,2012-2017,832.0,1150.0,-773K,-0.15,-0.08,-1.57%,15.72%,5.59%,-5.57bpm
EBIT / depre_amort,2012,1089.0,1201.0,766K,0.78,0.87,9.55%,4.51%,7.60%,24.94bpm
EBIT / depre_amort,2013,1080.0,1192.0,309K,0.18,0.12,3.09%,9.55%,7.15%,8.57bpm
EBIT / depre_amort,2014,1089.0,1164.0,-888K,-0.47,-0.53,-8.88%,10.43%,7.16%,-24.62bpm
EBIT / depre_amort,2015,1071.0,1176.0,1.51M,0.9,1.22,15.13%,7.26%,8.25%,36.40bpm
EBIT / depre_amort,2016,1064.0,1184.0,2.76M,1.6,3.49,27.62%,4.55%,5.79%,94.57bpm
EBIT / depre_amort,2017,1085.0,1192.0,303K,0.98,2.58,24.66%,3.14%,3.58%,136.68bpm
EBIT / depre_amort,2012-2017,1079.0,1183.0,4.76M,0.57,0.67,9.68%,13.43%,7.08%,27.10bpm
depre_amort / EBIT,2012,1019.0,1307.0,968K,1.05,1.73,12.08%,4.48%,4.42%,54.15bpm
depre_amort / EBIT,2013,973.0,1339.0,-440K,-0.48,-0.51,-4.40%,6.36%,3.87%,-22.54bpm
depre_amort / EBIT,2014,967.0,1326.0,-131K,-0.16,-0.09,-1.31%,3.49%,4.35%,-5.99bpm
depre_amort / EBIT,2015,1022.0,1267.0,320K,0.41,0.35,3.20%,4.25%,4.19%,15.15bpm
depre_amort / EBIT,2016,1054.0,1239.0,-315K,-0.37,-0.34,-3.15%,5.76%,3.74%,-16.75bpm
depre_amort / EBIT,2017,1123.0,1196.0,-48.4K,-0.54,-0.76,-3.94%,1.22%,1.97%,-39.66bpm
depre_amort / EBIT,2012-2017,1009.0,1293.0,353K,0.08,0.03,0.72%,8.91%,4.05%,3.51bpm
EBITDA / depre_amort,2012,1076.0,1213.0,789K,0.81,0.92,9.84%,4.47%,7.65%,25.51bpm
EBITDA / depre_amort,2013,1081.0,1189.0,322K,0.19,0.13,3.22%,9.39%,7.14%,8.97bpm
EBITDA / depre_amort,2014,1087.0,1166.0,-820K,-0.44,-0.47,-8.20%,10.42%,7.19%,-22.64bpm
EBITDA / depre_amort,2015,1074.0,1172.0,1.50M,0.89,1.2,15.00%,7.25%,8.26%,36.02bpm
EBITDA / depre_amort,2016,1065.0,1184.0,2.77M,1.6,3.5,27.65%,4.57%,5.79%,94.69bpm
EBITDA / depre_amort,2017,1087.0,1190.0,301K,0.98,2.55,24.47%,3.13%,3.58%,135.57bpm
EBITDA / depre_amort,2012-2017,1077.0,1184.0,4.86M,0.58,0.69,9.86%,13.29%,7.10%,27.57bpm
depre_amort / EBITDA,2012,1041.0,1283.0,714K,0.87,1.16,8.90%,4.63%,5.05%,34.94bpm
depre_amort / EBITDA,2013,1054.0,1256.0,-473K,-0.36,-0.39,-4.73%,7.30%,3.92%,-23.92bpm
depre_amort / EBITDA,2014,1036.0,1256.0,-251K,-0.26,-0.18,-2.51%,4.70%,4.82%,-10.34bpm
depre_amort / EBITDA,2015,950.0,1339.0,-226K,-0.22,-0.12,-2.26%,6.11%,7.11%,-6.31bpm
depre_amort / EBITDA,2016,1000.0,1292.0,829K,0.59,0.85,8.29%,5.65%,3.97%,41.45bpm
depre_amort / EBITDA,2017,1025.0,1293.0,-148K,-1.24,-2.72,-12.07%,1.52%,2.52%,-95.11bpm
depre_amort / EBITDA,2012-2017,1015.0,1286.0,444K,0.08,0.03,0.90%,12.52%,4.91%,3.64bpm
employee / depre_amort,2012,813.0,1399.0,-16.2K,-0.03,-0.01,-0.20%,4.53%,5.56%,-0.72bpm
employee / depre_amort,2013,805.0,1351.0,391K,0.55,0.51,3.91%,1.84%,4.55%,17.06bpm
employee / depre_amort,2014,791.0,1354.0,-1.75M,-1.51,-2.92,-17.47%,11.55%,4.66%,-74.40bpm
employee / depre_amort,2015,799.0,1351.0,406K,0.43,0.4,4.06%,3.45%,4.66%,17.29bpm
employee / depre_amort,2016,797.0,1352.0,898K,1.3,1.9,8.98%,2.83%,4.22%,42.20bpm
employee / depre_amort,2017,791.0,1404.0,-354K,-3.11,-10.36,-28.82%,2.93%,2.59%,-220.40bpm
employee / depre_amort,2012-2017,800.0,1361.0,-423K,-0.1,-0.04,-0.86%,12.49%,4.64%,-3.67bpm
depre_amort / employee,2012,843.0,1374.0,-682K,-1.03,-1.45,-8.50%,7.03%,4.29%,-39.29bpm
depre_amort / employee,2013,831.0,1333.0,1.08M,1.49,2.69,10.84%,2.43%,3.34%,64.33bpm
depre_amort / employee,2014,816.0,1331.0,1.04M,1.57,2.5,10.37%,1.88%,4.09%,50.27bpm
depre_amort / employee,2015,802.0,1348.0,166K,0.21,0.13,1.66%,4.73%,4.57%,7.21bpm
depre_amort / employee,2016,801.0,1346.0,-1.71M,-1.65,-3.78,-17.14%,9.50%,3.26%,-104.21bpm
depre_amort / employee,2017,812.0,1378.0,-379K,-3.66,-12.81,-30.81%,1.51%,2.52%,-242.67bpm
depre_amort / employee,2012-2017,817.0,1346.0,-488K,-0.12,-0.06,-0.99%,13.75%,3.86%,-5.09bpm
enterprise_value / depre_amort,2012,651.0,1157.0,-2.60M,-2.53,-4.9,-32.41%,17.12%,8.64%,-74.47bpm
enterprise_value / depre_amort,2013,646.0,1164.0,-121K,-0.08,-0.03,-1.21%,11.22%,7.97%,-3.00bpm
enterprise_value / depre_amort,2014,653.0,1148.0,-915K,-0.44,-0.47,-9.15%,20.09%,8.37%,-21.71bpm
enterprise_value / depre_amort,2015,647.0,1136.0,-908K,-0.41,-0.43,-9.08%,14.34%,8.36%,-21.54bpm
enterprise_value / depre_amort,2016,644.0,1127.0,-422K,-0.3,-0.25,-4.22%,5.07%,5.92%,-14.14bpm
enterprise_value / depre_amort,2017,663.0,1137.0,-521K,-2.18,-8.21,-42.32%,4.76%,3.00%,-280.32bpm
enterprise_value / depre_amort,2012-2017,648.0,1146.0,-5.48M,-0.63,-0.76,-11.14%,28.09%,7.70%,-28.70bpm
depre_amort / enterprise_value,2012,724.0,1091.0,651K,0.77,0.5,8.13%,4.00%,18.77%,8.59bpm
depre_amort / enterprise_value,2013,724.0,1093.0,812K,0.55,0.4,8.12%,6.25%,15.42%,10.45bpm
depre_amort / enterprise_value,2014,702.0,1103.0,47.1K,0.07,0.01,0.47%,3.90%,11.31%,0.83bpm
depre_amort / enterprise_value,2015,696.0,1089.0,-2.20M,-2.09,-2.72,-22.05%,14.05%,13.03%,-33.56bpm
depre_amort / enterprise_value,2016,696.0,1076.0,169K,0.18,0.06,1.69%,4.74%,15.04%,2.23bpm
depre_amort / enterprise_value,2017,702.0,1101.0,385K,4.66,10.81,31.28%,0.47%,5.81%,106.83bpm
depre_amort / enterprise_value,2012-2017,708.0,1091.0,-141K,-0.03,0.0,-0.29%,16.85%,14.33%,-0.40bpm
eps / depre_amort,2012,937.0,1351.0,1.14M,0.78,1.0,14.26%,8.89%,8.77%,32.26bpm
eps / depre_amort,2013,952.0,1317.0,1.88M,1.29,2.04,18.79%,6.28%,7.43%,50.16bpm
eps / depre_amort,2014,1014.0,1239.0,-617K,-0.26,-0.22,-6.17%,13.38%,8.69%,-14.09bpm
eps / depre_amort,2015,1002.0,1244.0,15.1K,0.01,0.0,0.15%,10.99%,8.53%,0.35bpm
eps / depre_amort,2016,1001.0,1246.0,642K,0.38,0.39,6.42%,10.72%,6.05%,21.08bpm
eps / depre_amort,2017,1014.0,1259.0,440K,1.36,4.64,35.77%,3.24%,3.08%,230.14bpm
eps / depre_amort,2012-2017,984.0,1276.0,3.50M,0.38,0.36,7.11%,16.81%,7.74%,18.23bpm
depre_amort / eps,2012,921.0,1385.0,-339K,-0.72,-0.63,-4.23%,3.30%,5.61%,-14.94bpm
depre_amort / eps,2013,865.0,1427.0,-804K,-1.58,-2.07,-8.04%,4.17%,4.69%,-34.04bpm
depre_amort / eps,2014,862.0,1412.0,56.5K,0.08,0.03,0.56%,3.26%,4.72%,2.37bpm
depre_amort / eps,2015,911.0,1360.0,-244K,-0.37,-0.24,-2.44%,4.53%,5.95%,-8.12bpm
depre_amort / eps,2016,958.0,1316.0,-1.76M,-2.19,-4.4,-17.58%,11.20%,4.34%,-80.42bpm
depre_amort / eps,2017,890.0,1407.0,154K,1.91,4.52,12.51%,0.48%,2.24%,110.73bpm
depre_amort / eps,2012-2017,903.0,1380.0,-2.93M,-0.9,-0.98,-5.96%,17.73%,4.97%,-23.79bpm
equity / depre_amort,2012,872.0,1389.0,-771K,-1.01,-1.18,-9.62%,8.33%,7.09%,-26.93bpm
equity / depre_amort,2013,871.0,1371.0,899K,0.61,0.76,8.99%,7.92%,5.78%,30.85bpm
equity / depre_amort,2014,876.0,1348.0,20.1K,0.02,0.0,0.20%,8.13%,5.91%,0.68bpm
equity / depre_amort,2015,867.0,1353.0,-411K,-0.28,-0.23,-4.11%,7.28%,6.20%,-13.16bpm
equity / depre_amort,2016,866.0,1355.0,-756K,-0.55,-0.66,-7.56%,8.20%,5.24%,-28.64bpm
equity / depre_amort,2017,881.0,1372.0,-274K,-0.89,-2.21,-22.27%,4.73%,3.66%,-120.61bpm
equity / depre_amort,2012-2017,871.0,1362.0,-1.29M,-0.19,-0.13,-2.63%,12.11%,5.94%,-8.77bpm
depre_amort / equity,2012,922.0,1377.0,-355K,-0.39,-0.35,-4.43%,6.04%,5.52%,-15.93bpm
depre_amort / equity,2013,939.0,1347.0,3.27M,3.47,7.93,32.66%,2.96%,6.23%,103.94bpm
depre_amort / equity,2014,937.0,1328.0,-1.68M,-1.32,-2.19,-16.77%,11.18%,6.11%,-54.48bpm
depre_amort / equity,2015,918.0,1344.0,13.7K,0.01,0.0,0.14%,4.69%,8.50%,0.32bpm
depre_amort / equity,2016,927.0,1340.0,81.0K,0.08,0.03,0.81%,5.91%,4.72%,3.41bpm
depre_amort / equity,2017,939.0,1359.0,148K,2.78,6.34,12.06%,0.51%,2.31%,103.42bpm
depre_amort / equity,2012-2017,929.0,1346.0,1.48M,0.28,0.19,3.00%,12.17%,6.15%,9.68bpm
goodwill / depre_amort,2012,763.0,1326.0,-528K,-1.32,-1.38,-6.58%,3.47%,6.06%,-21.54bpm
goodwill / depre_amort,2013,759.0,1321.0,96.6K,0.1,0.04,0.97%,4.65%,4.93%,3.89bpm
goodwill / depre_amort,2014,755.0,1307.0,1.68M,0.99,1.75,16.77%,2.18%,5.30%,62.80bpm
goodwill / depre_amort,2015,729.0,1326.0,-601K,-1.27,-1.34,-6.01%,4.48%,5.35%,-22.30bpm
goodwill / depre_amort,2016,731.0,1334.0,523K,0.98,1.01,5.23%,1.59%,4.95%,20.98bpm
goodwill / depre_amort,2017,735.0,1372.0,-210K,-3.56,-8.06,-17.07%,1.29%,3.33%,-101.84bpm
goodwill / depre_amort,2012-2017,747.0,1324.0,958K,0.2,0.12,1.95%,5.43%,5.24%,7.37bpm
depre_amort / goodwill,2012,458.0,1172.0,-67.3K,-0.12,-0.04,-0.84%,2.65%,6.80%,-2.45bpm
depre_amort / goodwill,2013,460.0,1160.0,-553K,-0.59,-0.54,-5.53%,4.84%,6.54%,-16.79bpm
depre_amort / goodwill,2014,472.0,1122.0,-1.11M,-1.16,-1.44,-11.06%,7.00%,7.14%,-30.74bpm
depre_amort / goodwill,2015,467.0,1143.0,-153K,-0.15,-0.07,-1.53%,7.26%,7.03%,-4.32bpm
depre_amort / goodwill,2016,482.0,1149.0,-1.35M,-1.29,-1.81,-13.47%,8.02%,6.82%,-39.17bpm
depre_amort / goodwill,2017,466.0,1186.0,-45.2K,-0.41,-0.49,-3.67%,0.99%,2.60%,-28.04bpm
depre_amort / goodwill,2012-2017,468.0,1149.0,-3.27M,-0.7,-0.69,-6.64%,18.39%,6.76%,-19.50bpm
income / depre_amort,2012,1114.0,1176.0,2.34M,1.91,3.49,29.24%,5.17%,8.79%,66.04bpm
income / depre_amort,2013,1136.0,1136.0,2.06M,1.38,2.22,20.64%,5.91%,7.94%,51.57bpm
income / depre_amort,2014,1136.0,1118.0,52.8K,0.03,0.01,0.53%,9.86%,7.98%,1.31bpm
income / depre_amort,2015,1138.0,1109.0,-686K,-0.37,-0.32,-6.86%,12.54%,9.37%,-14.54bpm
income / depre_amort,2016,1126.0,1122.0,369K,0.19,0.15,3.69%,12.30%,6.01%,12.17bpm
income / depre_amort,2017,1133.0,1141.0,359K,1.14,3.23,29.18%,3.29%,3.61%,160.30bpm
income / depre_amort,2012-2017,1131.0,1131.0,4.50M,0.51,0.55,9.14%,19.56%,7.88%,23.03bpm
depre_amort / income,2012,1050.0,1278.0,269K,0.5,0.36,3.36%,4.01%,6.58%,10.12bpm
depre_amort / income,2013,1077.0,1239.0,-325K,-0.44,-0.34,-3.25%,3.63%,5.59%,-11.54bpm
depre_amort / income,2014,1052.0,1244.0,-452K,-0.56,-0.49,-4.52%,5.39%,5.92%,-15.15bpm
depre_amort / income,2015,1024.0,1266.0,-566K,-0.79,-0.74,-5.66%,4.73%,6.40%,-17.56bpm
depre_amort / income,2016,1055.0,1237.0,-577K,-0.76,-0.76,-5.77%,4.42%,5.73%,-19.98bpm
depre_amort / income,2017,1088.0,1229.0,586K,4.03,17.15,47.66%,1.08%,2.64%,358.65bpm
depre_amort / income,2012-2017,1052.0,1251.0,-1.07M,-0.28,-0.17,-2.16%,13.75%,5.94%,-7.23bpm
income_beforeextra / depre_amort,2012,1114.0,1176.0,2.26M,1.8,3.22,28.18%,5.54%,8.85%,63.18bpm
income_beforeextra / depre_amort,2013,1139.0,1131.0,2.02M,1.32,2.14,20.23%,6.10%,7.67%,52.33bpm
income_beforeextra / depre_amort,2014,1150.0,1105.0,76.1K,0.04,0.01,0.76%,9.95%,7.98%,1.89bpm
income_beforeextra / depre_amort,2015,1142.0,1106.0,-708K,-0.38,-0.33,-7.08%,12.60%,9.46%,-14.84bpm
income_beforeextra / depre_amort,2016,1125.0,1124.0,353K,0.18,0.14,3.53%,12.33%,5.98%,11.72bpm
income_beforeextra / depre_amort,2017,1140.0,1134.0,353K,1.12,3.15,28.71%,3.29%,3.61%,157.74bpm
income_beforeextra / depre_amort,2012-2017,1135.0,1126.0,4.36M,0.49,0.52,8.85%,19.73%,7.85%,22.38bpm
depre_amort / income_beforeextra,2012,1063.0,1265.0,268K,0.44,0.31,3.35%,4.06%,6.75%,9.83bpm
depre_amort / income_beforeextra,2013,1073.0,1241.0,295K,0.41,0.3,2.95%,2.77%,5.51%,10.63bpm
depre_amort / income_beforeextra,2014,1066.0,1230.0,-691K,-0.86,-0.93,-6.91%,5.60%,5.90%,-23.22bpm
depre_amort / income_beforeextra,2015,1031.0,1259.0,-780K,-0.88,-0.96,-7.80%,5.16%,6.51%,-23.78bpm
depre_amort / income_beforeextra,2016,1069.0,1224.0,-416K,-0.54,-0.46,-4.16%,4.48%,5.74%,-14.37bpm
depre_amort / income_beforeextra,2017,1095.0,1222.0,549K,3.78,16.4,44.62%,1.07%,2.38%,372.71bpm
depre_amort / income_beforeextra,2012-2017,1061.0,1242.0,-774K,-0.19,-0.1,-1.57%,12.83%,5.96%,-5.23bpm
income_tax / depre_amort,2012,994.0,1295.0,-703K,-1.3,-1.33,-8.77%,6.03%,8.32%,-20.92bpm
income_tax / depre_amort,2013,999.0,1271.0,523K,0.52,0.47,5.23%,2.96%,6.29%,16.52bpm
income_tax / depre_amort,2014,938.0,1315.0,707K,0.91,1.03,7.07%,3.17%,5.51%,25.44bpm
income_tax / depre_amort,2015,971.0,1275.0,-500K,-0.64,-0.54,-5.00%,4.79%,6.92%,-14.32bpm
income_tax / depre_amort,2016,997.0,1250.0,580K,0.58,0.59,5.80%,4.07%,5.62%,20.51bpm
income_tax / depre_amort,2017,960.0,1314.0,-231K,-3.76,-9.1,-18.81%,1.48%,3.21%,-116.15bpm
income_tax / depre_amort,2012-2017,979.0,1281.0,377K,0.09,0.03,0.77%,7.60%,6.38%,2.38bpm
depre_amort / income_tax,2012,931.0,1281.0,-1.17M,-1.13,-1.63,-14.60%,8.73%,7.08%,-40.92bpm
depre_amort / income_tax,2013,910.0,1280.0,1.38M,1.14,1.68,13.75%,4.74%,6.39%,42.71bpm
depre_amort / income_tax,2014,918.0,1234.0,-69.3K,-0.07,-0.02,-0.69%,6.88%,5.87%,-2.34bpm
depre_amort / income_tax,2015,915.0,1220.0,-47.1K,-0.05,-0.01,-0.47%,3.93%,7.03%,-1.33bpm
depre_amort / income_tax,2016,913.0,1224.0,-329K,-0.35,-0.26,-3.29%,3.88%,6.09%,-10.72bpm
depre_amort / income_tax,2017,933.0,1206.0,17.4K,0.1,0.06,1.41%,2.58%,3.75%,7.46bpm
depre_amort / income_tax,2012-2017,917.0,1245.0,-223K,-0.04,-0.01,-0.45%,9.69%,6.40%,-1.41bpm
interest_expense / depre_amort,2012,693.0,1208.0,-195K,-0.28,-0.18,-2.44%,3.78%,6.20%,-7.80bpm
interest_expense / depre_amort,2013,666.0,1225.0,-974K,-0.95,-1.2,-9.74%,7.39%,6.13%,-31.54bpm
interest_expense / depre_amort,2014,669.0,1212.0,-244K,-0.19,-0.13,-2.44%,9.05%,5.47%,-8.85bpm
interest_expense / depre_amort,2015,660.0,1220.0,43.7K,0.03,0.01,0.44%,7.23%,7.14%,1.21bpm
interest_expense / depre_amort,2016,655.0,1217.0,1.77M,1.53,2.85,17.72%,3.74%,5.07%,69.30bpm
interest_expense / depre_amort,2017,668.0,1252.0,235K,2.97,6.84,19.08%,0.69%,3.59%,105.35bpm
interest_expense / depre_amort,2012-2017,668.0,1218.0,637K,0.11,0.05,1.29%,13.73%,5.93%,4.33bpm
depre_amort / interest_expense,2012,505.0,1271.0,-781K,-1.53,-1.78,-9.74%,4.24%,7.18%,-26.93bpm
depre_amort / interest_expense,2013,514.0,1258.0,-161K,-0.27,-0.15,-1.61%,2.84%,5.48%,-5.83bpm
depre_amort / interest_expense,2014,529.0,1241.0,-45.0K,-0.06,-0.02,-0.45%,7.19%,5.84%,-1.53bpm
depre_amort / interest_expense,2015,534.0,1233.0,498K,0.6,0.54,4.98%,3.05%,6.12%,16.14bpm
depre_amort / interest_expense,2016,555.0,1225.0,90.8K,0.1,0.04,0.91%,6.79%,4.97%,3.63bpm
depre_amort / interest_expense,2017,567.0,1249.0,-115K,-1.41,-2.99,-9.35%,1.09%,2.08%,-89.28bpm
depre_amort / interest_expense,2012-2017,530.0,1245.0,-513K,-0.14,-0.06,-1.04%,9.92%,5.77%,-3.58bpm
inventory / depre_amort,2012,665.0,1392.0,-349K,-0.72,-0.56,-4.36%,2.69%,7.38%,-11.72bpm
inventory / depre_amort,2013,663.0,1385.0,-765K,-0.89,-0.94,-7.65%,5.81%,6.87%,-22.11bpm
inventory / depre_amort,2014,681.0,1342.0,-204K,-0.34,-0.2,-2.04%,3.77%,6.22%,-6.50bpm
inventory / depre_amort,2015,688.0,1367.0,-673K,-0.87,-0.91,-6.73%,4.29%,6.17%,-21.65bpm
inventory / depre_amort,2016,675.0,1384.0,53.3K,0.04,0.01,0.53%,5.32%,7.21%,1.47bpm
inventory / depre_amort,2017,687.0,1429.0,79.4K,0.74,0.72,6.45%,1.24%,6.72%,19.05bpm
inventory / depre_amort,2012-2017,675.0,1375.0,-1.86M,-0.45,-0.33,-3.77%,15.87%,6.74%,-11.11bpm
depre_amort / inventory,2012,598.0,1059.0,-309K,-0.57,-0.44,-3.85%,3.80%,6.48%,-11.79bpm
depre_amort / inventory,2013,581.0,1041.0,1.11M,1.5,2.09,11.05%,2.19%,5.68%,38.59bpm
depre_amort / inventory,2014,547.0,1021.0,-136K,-0.18,-0.08,-1.36%,5.93%,6.01%,-4.48bpm
depre_amort / inventory,2015,540.0,1014.0,-1.58M,-1.09,-1.7,-15.78%,13.82%,6.52%,-48.02bpm
depre_amort / inventory,2016,537.0,1025.0,1.20M,0.77,1.1,11.95%,9.00%,5.88%,40.33bpm
depre_amort / inventory,2017,541.0,1044.0,-196K,-3.32,-6.37,-15.95%,1.42%,4.34%,-72.85bpm
depre_amort / inventory,2012-2017,559.0,1031.0,82.3K,0.02,0.0,0.17%,20.77%,6.05%,0.55bpm
inventory_turnover / depre_amort,2012,536.0,1521.0,-4.32M,-2.8,-6.39,-53.92%,23.86%,10.35%,-103.37bpm
